class, frequency
Innkeeper	4599
Acolyte	66
Barefoot Runner	5
Disciple	3
Emperor	1319
Doctor	600
Beast Tamer	88
Florist Level 19 → Florist	1
Florist Level 16 → Florist	1
Leader	46
Barmaid	232
Carer	23
Tactician	267
Chieftain	318
Scavenger	13
Tinkerer	19
Magical Innkeeper	70
Warrior	625
Negotiator	65
Medic	8
Princess	2302
Gardener	62
Mage	3179
Druid	403
Heiress	84
Receptionist	444
Worldly Princess	25
Singer	117
Berserker	83
Archer	266
General	1362
Miner	42
Bard	579
Goblin Soulbard	23
Paladin	174
Champion	128
Knight	2610
Actress	19
Lead Actress	3
Wounded Warrior	53
Silversteel Armsmistress	46
Awesome Innkeeper	1
Cook	304
Forager Cook	4
Grabber	2
Sand Mage	57
Duelist	137
King	1189
King of Challenges	24
Strategist	1317
Lady Firestarter	25
Kicker	21
Spearmaster	334
Guardsman	417
Bannerlady	7
Gossip	68
Honest Reporter	15
Foreign Commander	2
Combined-Arms Commander	4
Great Chieftain	40
Gambler	37
Assassin	662
Knight-Errant	11
Duelist Princess	8
Queen (Temporary)	4
Swimmer	3
Athlete	13
Football Player	2
Coach	9
Famed Coach	2
World-Renowned Coach	3
Summoner	90
Rogue Mage	3
Knifefighter	3
Survivor	22
Underworld Survivor	3
Shield Maiden	26
Veteran Scout	27
Bowman of Loss	29
Marksman	36
Fletcher	13
Steel Tempest	3
Steelforged Whirlwind	3
Mercenary	103
Bounty Hunter	10
Lover	4
Green Mage	55
Bloodearth Mage	5
Spellslinger	31
Depth Rogue	1
Faith Seeker	5
Prince of Sands	5
Twinblade Linebreaker	3
Maimed Twinblade	2
Fire Mage	10
Inferno Mage	3
Relickeeper Heiress	2
Arctic Cryomancer	16
Teammate	14
Necromancer	1885
Ossific Necromancer	2
Deathbane Necromancer	8
Skirmisher	114
Brave Skirmisher	19
Animal Friend	12
Doomspeaker Priest	6
Priest of Wrath and Sky	10
Revalantor	9
Liar	31
Battle Seeker	24
Adventurer	35
Slave	226
Guardsman of Trust	14
Training Captain	2
Goblin Chieftain	1
Chieftain of the Maw	7
Big Eater	4
Magic Paint Shaman	1
Shaman of the Old Ways	19
Goth	68
Midnight Goth	3
Veteran Warrior	2
Exemplar Warrior	8
Tracking Sergeant	1
Goblinfriend Bug-Captain	5
Shaman	1332
Aura Knight	6
Dancer	42
Apprentice	20
Emberbearer	24
Gladiator	98
Rebel	14
Plotter	12
Chaos Schemer	8
Bloodglass Mage	7
Swordsman	68
Crusader	110
Flag Bearer	19
Trapsetter Strategist	7
Combined Arms Strategist	6
